1272_128104_000001_000000	a jolly art critic
1272_128104_000003_000000	there is a healthy bank holiday atmosphere about this book which is extremely pleasant . 
1272_128104_000003_000001	mr quilter is entirely free from affectation of any kind . 
1272_128104_000003_000002	he rollicks through art with the recklessness of the tourist and describes its beauties with the enthusiasm of the auctioneer . 
1272_128104_000003_000003	to many , no doubt , he will seem to be somewhat blatant and bumptious , but we prefer to regard him as being simply british . 
1272_128104_000003_000005	after listening so long to the don quixote of art , to listen once to sancho panza is both salutary and refreshing . 
1272_128104_000005_000000	about artists and their work mr quilter has , of course , a great deal to say . 
1272_128104_000005_000001	sculpture he regards as paintings poor relation ; so , with the exception of a jaunty allusion to the rough modelling of tanagra figurines he hardly refers at all to the plastic arts ; but on painters he writes with much vigour and joviality . 
1272_128104_000005_000006	that there is a difference between colour and colours , that an artist , be he portrait painter or dramatist , always reveals himself in his manner , are ideas that can hardly be said to occur to him ; but mr quilter really does his best and bravely faces every difficulty in modern art , with the exception of mr whistler . 
1272_128104_000005_000007	painting , he tells us , is of a different quality to mathematics , and finish in art is adding more fact ! 
1272_128104_000005_000008	portrait painting is a bad pursuit for an emotional artist as it destroys his personality and his sympathy ; however , even for the emotional artist there is hope , as a portrait can be converted into a picture by adding to the likeness of the sitter some dramatic interest or some picturesque adjunct ! 
1272_128104_000005_000009	as for etchings , they are of two kinds british and foreign . 
1272_128104_000005_000013	and then the picture he draws of the ideal home , where everything , though ugly , is hallowed by domestic memories , and where beauty appeals not to the heartless eye but the family affections ; babys chair there , and the mothers work basket . near the fire , and the ornaments fred brought home from india on the mantel board ! 
1272_128104_000005_000014	it is really impossible not to be touched by so charming a description . 
1272_128104_000006_000003	far from it . 
1272_128104_000006_000008	on the whole , the book will not do . 
1272_128104_000006_000009	we fully admit that it is extremely amusing and , no doubt , mr quilter is quite earnest in his endeavours to elevate art to the dignity of manual labour , but the extraordinary vulgarity of the style alone will always be sufficient to prevent these sententiae artis from being anything more than curiosities of literature . mr quilter has missed his chance ; for he has failed even to make himself the tupper of painting . 
1272_128104_000007_000000	sententiae : artis : first principles of art for painters and picture lovers . 
1272_128104_000007_000001	by harry quilter , m a isbister . 
1272_135031_000002_000000	king kaliko
1272_135031_000005_000000	dont worry , replied quox . 
1272_135031_000007_000001	next instant shaggy was himself again and quox said to him grumblingly : 
1272_135031_000008_000000	please get off my left toe , shaggy man , and be more particular where you step . 
1272_135031_000026_000002	quox did not have much to say until the conversation was ended , but then he turned to kaliko and asked : 
1272_135031_000028_000000	me ? stammered the chamberlain , greatly surprised by the question . well , i couldnt be a worse king , im sure . 
1272_135031_000030_000000	of course , said kaliko . 
1272_135031_000032_000000	hooray ! cried betsy ; im glad of that . 
1272_135031_000035_000000	the ugly one ? 
1272_135031_000035_000001	very willingly , replied kaliko . 
1272_135031_000036_000002	but is my dear brother well ? he added anxiously . 
1272_135031_000038_000000	i hope he doesnt work too hard , said shaggy . 
1272_135031_000039_000000	he doesnt work at all . 
1272_135031_000041_000000	not exactly , returned kaliko . 
1272_135031_000043_000000	in the metal forest . 
1272_135031_000044_000000	where is that ? 
1272_135031_000045_000002	all the trees are gold and silver and the ground is strewn with precious stones , so it is a sort of treasury . 
1272_135031_000047_000000	kaliko hesitated . 
1272_135031_000051_000000	do you suppose ruggedo destroyed them ? 
1272_135031_000052_000000	oh , no ; im quite sure he didnt . 
